,Date,Open,High,Low,Close,Volume,year,TrendValue,Trend,Up Days,Down Days,RSI,Close Rateofchange,OBV,VWAP,Prediction Value
132,2000-07-13,1535.55,1564.75,1513.65,1522.6,47987006,2000,27.0,Uptrend,27.0,0.0,97.55676457866412,0.05352015222279882,501186835,1493.3933532287072,1
133,2000-07-14,1522.2,1534.35,1505.9,1509.75,50970729,2000,-30.0,Downtrend,0.0,30.0,98.5715355397503,0.02196574832464626,450216106,1496.928844719561,0
134,2000-07-17,1509.25,1512.25,1475.15,1479.65,39534845,2000,-22.0,Downtrend,0.0,22.0,98.92988330146017,-0.012743953294411914,410681261,1498.6726347178057,0
135,2000-07-18,1479.3,1482.9,1458.6,1463.1,39629219,2000,-29.0,Downtrend,0.0,29.0,99.21509902090925,-0.029195142989848044,371052042,1497.7557275174452,0
136,2000-07-19,1464.55,1468.55,1432.85,1435.8,38459509,2000,-14.0,Downtrend,0.0,14.0,99.31237486747439,-0.026675253364064733,332592533,1495.7424791364956,0
137,2000-07-20,1434.95,1443.25,1416.0,1424.2,44962303,2000,-25.0,Downtrend,0.0,25.0,99.44692801861231,-0.043037124139089555,287630230,1493.7440158959778,0
138,2000-07-21,1424.9,1435.2,1394.3,1397.25,47900266,2000,-8.0,Downtrend,0.0,8.0,99.48256496540748,-0.0509102024181497,239729964,1490.3046923414843,0
139,2000-07-24,1397.05,1397.05,1310.85,1317.75,41605572,2000,-38.0,Downtrend,0.0,38.0,99.61258751057434,-0.09223986498122827,198124392,1486.287171924811,0
140,2000-07-25,1317.35,1363.45,1269.25,1348.9,52145532,2000,-33.0,Downtrend,0.0,33.0,99.68708684403215,-0.07247473011070604,250269924,1479.123363400206,0
141,2000-07-26,1350.8,1371.8,1315.15,1318.25,35752137,2000,8.0,Uptrend,8.0,0.0,99.63419632118968,-0.1032312925170068,214517787,1472.343701381237,1
